,"(mm) Precipitation (TerraClimate) at barreiras, Jan 1958 to Dec 2024"
"1958-01-01",248
"1958-02-01",129
"1958-03-01",139
"1958-04-01",43
"1958-05-01",0
"1958-06-01",0
"1958-07-01",2
"1958-08-01",0
"1958-09-01",30
"1958-10-01",89
"1958-11-01",48
"1958-12-01",352
"1959-01-01",136
"1959-02-01",44
"1959-03-01",61
"1959-04-01",6
"1959-05-01",2
"1959-06-01",4
"1959-07-01",0
"1959-08-01",1
"1959-09-01",19
"1959-10-01",48
"1959-11-01",149
"1959-12-01",162
"1960-01-01",245
"1960-02-01",117
"1960-03-01",395
"1960-04-01",19
"1960-05-01",2
"1960-06-01",0
"1960-07-01",0
"1960-08-01",0
"1960-09-01",1
"1960-10-01",14
"1960-11-01",165
"1960-12-01",242
"1961-01-01",185
"1961-02-01",85
"1961-03-01",112
"1961-04-01",43
"1961-05-01",15
"1961-06-01",7
"1961-07-01",0
"1961-08-01",0
"1961-09-01",0
"1961-10-01",15
"1961-11-01",24
"1961-12-01",204
"1962-01-01",172
"1962-02-01",90
"1962-03-01",165
"1962-04-01",74
"1962-05-01",34
"1962-06-01",16
"1962-07-01",0
"1962-08-01",1
"1962-09-01",35
"1962-10-01",36
"1962-11-01",211
"1962-12-01",218
"1963-01-01",70
"1963-02-01",135
"1963-03-01",14
"1963-04-01",98
"1963-05-01",24
"1963-06-01",0
"1963-07-01",0
"1963-08-01",0
"1963-09-01",0
"1963-10-01",14
"1963-11-01",111
"1963-12-01",337
"1964-01-01",338
"1964-02-01",181
"1964-03-01",78
"1964-04-01",35
"1964-05-01",28
"1964-06-01",3
"1964-07-01",0
"1964-08-01",0
"1964-09-01",4
"1964-10-01",75
"1964-11-01",308
"1964-12-01",143
"1965-01-01",92
"1965-02-01",111
"1965-03-01",129
"1965-04-01",146
"1965-05-01",1
"1965-06-01",32
"1965-07-01",0
"1965-08-01",0
"1965-09-01",7
"1965-10-01",111
"1965-11-01",186
"1965-12-01",85
"1966-01-01",201
"1966-02-01",408
"1966-03-01",117
"1966-04-01",189
"1966-05-01",17
"1966-06-01",0
"1966-07-01",0
"1966-08-01",0
"1966-09-01",37
"1966-10-01",68
"1966-11-01",196
"1966-12-01",241
"1967-01-01",96
"1967-02-01",104
"1967-03-01",110
"1967-04-01",181
"1967-05-01",10
"1967-06-01",1
"1967-07-01",0
"1967-08-01",1
"1967-09-01",17
"1967-10-01",15
"1967-11-01",243
"1967-12-01",342
"1968-01-01",51
"1968-02-01",292
"1968-03-01",142
"1968-04-01",48
"1968-05-01",13
"1968-06-01",0
"1968-07-01",0
"1968-08-01",6
"1968-09-01",0
"1968-10-01",78
"1968-11-01",401
"1968-12-01",157
"1969-01-01",164
"1969-02-01",183
"1969-03-01",174
"1969-04-01",28
"1969-05-01",12
"1969-06-01",0
"1969-07-01",0
"1969-08-01",9
"1969-09-01",6
"1969-10-01",30
"1969-11-01",118
"1969-12-01",379
"1970-01-01",245
"1970-02-01",65
"1970-03-01",72
"1970-04-01",67
"1970-05-01",0
"1970-06-01",12
"1970-07-01",0
"1970-08-01",0
"1970-09-01",14
"1970-10-01",90
"1970-11-01",369
"1970-12-01",145
"1971-01-01",62
"1971-02-01",64
"1971-03-01",81
"1971-04-01",172
"1971-05-01",7
"1971-06-01",8
"1971-07-01",0
"1971-08-01",5
"1971-09-01",5
"1971-10-01",138
"1971-11-01",229
"1971-12-01",116
"1972-01-01",59
"1972-02-01",99
"1972-03-01",122
"1972-04-01",133
"1972-05-01",11
"1972-06-01",1
"1972-07-01",0
"1972-08-01",4
"1972-09-01",12
"1972-10-01",75
"1972-11-01",182
"1972-12-01",365
"1973-01-01",66
"1973-02-01",127
"1973-03-01",254
"1973-04-01",32
"1973-05-01",51
"1973-06-01",3
"1973-07-01",0
"1973-08-01",1
"1973-09-01",19
"1973-10-01",229
"1973-11-01",149
"1973-12-01",109
"1974-01-01",180
"1974-02-01",142
"1974-03-01",327
"1974-04-01",138
"1974-05-01",64
"1974-06-01",34
"1974-07-01",0
"1974-08-01",4
"1974-09-01",25
"1974-10-01",141
"1974-11-01",115
"1974-12-01",94
"1975-01-01",181
"1975-02-01",149
"1975-03-01",152
"1975-04-01",99
"1975-05-01",7
"1975-06-01",14
"1975-07-01",1
"1975-08-01",0
"1975-09-01",1
"1975-10-01",99
"1975-11-01",134
"1975-12-01",119
"1976-01-01",73
"1976-02-01",217
"1976-03-01",100
"1976-04-01",46
"1976-05-01",33
"1976-06-01",4
"1976-07-01",0
"1976-08-01",0
"1976-09-01",51
"1976-10-01",156
"1976-11-01",169
"1976-12-01",103
"1977-01-01",233
"1977-02-01",37
"1977-03-01",54
"1977-04-01",82
"1977-05-01",15
"1977-06-01",41
"1977-07-01",0
"1977-08-01",4
"1977-09-01",75
"1977-10-01",80
"1977-11-01",189
"1977-12-01",236
"1978-01-01",155
"1978-02-01",312
"1978-03-01",234
"1978-04-01",176
"1978-05-01",59
"1978-06-01",55
"1978-07-01",1
"1978-08-01",0
"1978-09-01",4
"1978-10-01",88
"1978-11-01",164
"1978-12-01",235
"1979-01-01",308
"1979-02-01",299
"1979-03-01",96
"1979-04-01",110
"1979-05-01",18
"1979-06-01",0
"1979-07-01",0
"1979-08-01",2
"1979-09-01",10
"1979-10-01",144
"1979-11-01",261
"1979-12-01",165
"1980-01-01",332
"1980-02-01",408
"1980-03-01",36
"1980-04-01",23
"1980-05-01",4
"1980-06-01",0
"1980-07-01",0
"1980-08-01",2
"1980-09-01",28
"1980-10-01",32
"1980-11-01",198
"1980-12-01",204
"1981-01-01",108
"1981-02-01",31
"1981-03-01",323
"1981-04-01",67
"1981-05-01",5
"1981-06-01",71
"1981-07-01",0
"1981-08-01",21
"1981-09-01",0
"1981-10-01",110
"1981-11-01",232
"1981-12-01",103
"1982-01-01",210
