,"(mm) Precipitation (TerraClimate) at cuiaba, Jan 1958 to Dec 2024"
"1958-01-01",192
"1958-02-01",274
"1958-03-01",130
"1958-04-01",210
"1958-05-01",51
"1958-06-01",4
"1958-07-01",61
"1958-08-01",1
"1958-09-01",47
"1958-10-01",185
"1958-11-01",159
"1958-12-01",278
"1959-01-01",335
"1959-02-01",161
"1959-03-01",301
"1959-04-01",94
"1959-05-01",61
"1959-06-01",32
"1959-07-01",7
"1959-08-01",15
"1959-09-01",15
"1959-10-01",97
"1959-11-01",289
"1959-12-01",172
"1960-01-01",191
"1960-02-01",196
"1960-03-01",220
"1960-04-01",172
"1960-05-01",90
"1960-06-01",4
"1960-07-01",0
"1960-08-01",16
"1960-09-01",6
"1960-10-01",185
"1960-11-01",166
"1960-12-01",131
"1961-01-01",293
"1961-02-01",232
"1961-03-01",122
"1961-04-01",73
"1961-05-01",37
"1961-06-01",11
"1961-07-01",0
"1961-08-01",7
"1961-09-01",22
"1961-10-01",139
"1961-11-01",133
"1961-12-01",178
"1962-01-01",246
"1962-02-01",152
"1962-03-01",65
"1962-04-01",127
"1962-05-01",18
"1962-06-01",21
"1962-07-01",0
"1962-08-01",11
"1962-09-01",69
"1962-10-01",107
"1962-11-01",96
"1962-12-01",304
"1963-01-01",172
"1963-02-01",251
"1963-03-01",149
"1963-04-01",91
"1963-05-01",8
"1963-06-01",10
"1963-07-01",0
"1963-08-01",1
"1963-09-01",19
"1963-10-01",74
"1963-11-01",172
"1963-12-01",104
"1964-01-01",143
"1964-02-01",174
"1964-03-01",193
"1964-04-01",45
"1964-05-01",23
"1964-06-01",0
"1964-07-01",8
"1964-08-01",1
"1964-09-01",40
"1964-10-01",207
"1964-11-01",167
"1964-12-01",158
"1965-01-01",159
"1965-02-01",121
"1965-03-01",191
"1965-04-01",168
"1965-05-01",22
"1965-06-01",2
"1965-07-01",11
"1965-08-01",0
"1965-09-01",45
"1965-10-01",241
"1965-11-01",121
"1965-12-01",240
"1966-01-01",192
"1966-02-01",299
"1966-03-01",95
"1966-04-01",26
"1966-05-01",51
"1966-06-01",2
"1966-07-01",0
"1966-08-01",1
"1966-09-01",26
"1966-10-01",175
"1966-11-01",47
"1966-12-01",141
"1967-01-01",223
"1967-02-01",146
"1967-03-01",160
"1967-04-01",163
"1967-05-01",8
"1967-06-01",10
"1967-07-01",0
"1967-08-01",0
"1967-09-01",12
"1967-10-01",102
"1967-11-01",175
"1967-12-01",195
"1968-01-01",152
"1968-02-01",390
"1968-03-01",132
"1968-04-01",96
"1968-05-01",10
"1968-06-01",1
"1968-07-01",0
"1968-08-01",39
"1968-09-01",107
"1968-10-01",137
"1968-11-01",115
"1968-12-01",272
"1969-01-01",260
"1969-02-01",83
"1969-03-01",94
"1969-04-01",72
"1969-05-01",37
"1969-06-01",2
"1969-07-01",1
"1969-08-01",2
"1969-09-01",38
"1969-10-01",144
"1969-11-01",110
"1969-12-01",210
"1970-01-01",224
"1970-02-01",140
"1970-03-01",239
"1970-04-01",152
"1970-05-01",48
"1970-06-01",1
"1970-07-01",1
"1970-08-01",0
"1970-09-01",57
"1970-10-01",89
"1970-11-01",132
"1970-12-01",150
"1971-01-01",194
"1971-02-01",135
"1971-03-01",167
"1971-04-01",113
"1971-05-01",48
"1971-06-01",50
"1971-07-01",35
"1971-08-01",0
"1971-09-01",59
"1971-10-01",132
"1971-11-01",102
"1971-12-01",245
"1972-01-01",206
"1972-02-01",283
"1972-03-01",127
"1972-04-01",92
"1972-05-01",121
"1972-06-01",8
"1972-07-01",32
"1972-08-01",12
"1972-09-01",68
"1972-10-01",99
"1972-11-01",172
"1972-12-01",203
"1973-01-01",152
"1973-02-01",227
"1973-03-01",104
"1973-04-01",106
"1973-05-01",38
"1973-06-01",26
"1973-07-01",30
"1973-08-01",43
"1973-09-01",27
"1973-10-01",97
"1973-11-01",217
"1973-12-01",364
"1974-01-01",231
"1974-02-01",183
"1974-03-01",202
"1974-04-01",133
"1974-05-01",71
"1974-06-01",36
"1974-07-01",3
"1974-08-01",7
"1974-09-01",52
"1974-10-01",148
"1974-11-01",213
"1974-12-01",215
"1975-01-01",301
"1975-02-01",168
"1975-03-01",200
"1975-04-01",192
"1975-05-01",50
"1975-06-01",15
"1975-07-01",23
"1975-08-01",2
"1975-09-01",36
"1975-10-01",109
"1975-11-01",154
"1975-12-01",169
"1976-01-01",140
"1976-02-01",186
"1976-03-01",209
"1976-04-01",175
"1976-05-01",44
"1976-06-01",5
"1976-07-01",9
"1976-08-01",1
"1976-09-01",57
"1976-10-01",124
"1976-11-01",230
"1976-12-01",119
"1977-01-01",93
"1977-02-01",176
"1977-03-01",189
"1977-04-01",136
"1977-05-01",95
"1977-06-01",11
"1977-07-01",1
"1977-08-01",17
"1977-09-01",70
"1977-10-01",157
"1977-11-01",153
"1977-12-01",193
"1978-01-01",207
"1978-02-01",211
"1978-03-01",124
"1978-04-01",198
"1978-05-01",111
"1978-06-01",1
"1978-07-01",29
"1978-08-01",10
"1978-09-01",81
"1978-10-01",119
"1978-11-01",184
"1978-12-01",218
"1979-01-01",282
"1979-02-01",240
"1979-03-01",268
"1979-04-01",158
"1979-05-01",95
"1979-06-01",0
"1979-07-01",35
"1979-08-01",8
"1979-09-01",75
"1979-10-01",68
"1979-11-01",151
"1979-12-01",220
"1980-01-01",211
"1980-02-01",200
"1980-03-01",239
"1980-04-01",152
"1980-05-01",86
"1980-06-01",6
"1980-07-01",10
"1980-08-01",4
"1980-09-01",75
"1980-10-01",77
"1980-11-01",132
"1980-12-01",156
"1981-01-01",240
"1981-02-01",272
"1981-03-01",210
"1981-04-01",74
"1981-05-01",57
"1981-06-01",35
"1981-07-01",0
"1981-08-01",2
"1981-09-01",99
"1981-10-01",89
"1981-11-01",216
"1981-12-01",225
"1982-01-01",189
"1982-02-01",206
"1982-03-01",196
"1982-04-01",154
"1982-05-01",37
"1982-06-01",4
"1982-07-01",25
"1982-08-01",27
"1982-09-01",124
"1982-10-01",132
"1982-11-01",107
"1982-12-01",143
"1983-01-01",281
"1983-02-01",139
"1983-03-01",181
"1983-04-01",76
"1983-05-01",103
"1983-06-01",34
"1983-07-01",19
