,"(mm) Precipitation (TerraClimate) at UBERLANDIA, Jan 1958 to Dec 2024"
"1958-01-01",566
"1958-02-01",252
"1958-03-01",230
"1958-04-01",104
"1958-05-01",66
"1958-06-01",5
"1958-07-01",49
"1958-08-01",0
"1958-09-01",64
"1958-10-01",97
"1958-11-01",62
"1958-12-01",305
"1959-01-01",367
"1959-02-01",111
"1959-03-01",331
"1959-04-01",132
"1959-05-01",2
"1959-06-01",5
"1959-07-01",0
"1959-08-01",2
"1959-09-01",2
"1959-10-01",142
"1959-11-01",211
"1959-12-01",242
"1960-01-01",352
"1960-02-01",257
"1960-03-01",163
"1960-04-01",37
"1960-05-01",26
"1960-06-01",40
"1960-07-01",0
"1960-08-01",0
"1960-09-01",42
"1960-10-01",130
"1960-11-01",230
"1960-12-01",380
"1961-01-01",412
"1961-02-01",357
"1961-03-01",250
"1961-04-01",77
"1961-05-01",43
"1961-06-01",1
"1961-07-01",0
"1961-08-01",0
"1961-09-01",0
"1961-10-01",145
"1961-11-01",155
"1961-12-01",291
"1962-01-01",389
"1962-02-01",267
"1962-03-01",178
"1962-04-01",78
"1962-05-01",23
"1962-06-01",24
"1962-07-01",0
"1962-08-01",14
"1962-09-01",20
"1962-10-01",268
"1962-11-01",92
"1962-12-01",465
"1963-01-01",195
"1963-02-01",235
"1963-03-01",50
"1963-04-01",68
"1963-05-01",7
"1963-06-01",0
"1963-07-01",0
"1963-08-01",0
"1963-09-01",3
"1963-10-01",39
"1963-11-01",105
"1963-12-01",73
"1964-01-01",297
"1964-02-01",419
"1964-03-01",117
"1964-04-01",83
"1964-05-01",36
"1964-06-01",1
"1964-07-01",15
"1964-08-01",1
"1964-09-01",73
"1964-10-01",261
"1964-11-01",203
"1964-12-01",325
"1965-01-01",219
"1965-02-01",260
"1965-03-01",180
"1965-04-01",121
"1965-05-01",9
"1965-06-01",15
"1965-07-01",21
"1965-08-01",11
"1965-09-01",45
"1965-10-01",230
"1965-11-01",210
"1965-12-01",187
"1966-01-01",225
"1966-02-01",240
"1966-03-01",159
"1966-04-01",88
"1966-05-01",48
"1966-06-01",0
"1966-07-01",1
"1966-08-01",1
