,"(mm) Precipitation (TerraClimate) at -95.0000E,38.0000N, Jan 1958 to Dec 2024"
"1958-01-01",37
"1958-02-01",30
"1958-03-01",117
"1958-04-01",73
"1958-05-01",94
"1958-06-01",161
"1958-07-01",245
"1958-08-01",67
"1958-09-01",126
"1958-10-01",14
"1958-11-01",80
"1958-12-01",18
"1959-01-01",31
"1959-02-01",33
"1959-03-01",66
"1959-04-01",63
"1959-05-01",94
"1959-06-01",56
"1959-07-01",140
"1959-08-01",107
"1959-09-01",98
"1959-10-01",182
"1959-11-01",15
"1959-12-01",30
"1960-01-01",34
"1960-02-01",52
"1960-03-01",46
"1960-04-01",95
"1960-05-01",135
"1960-06-01",83
"1960-07-01",88
"1960-08-01",119
"1960-09-01",33
"1960-10-01",136
"1960-11-01",18
"1960-12-01",50
"1961-01-01",3
"1961-02-01",43
"1961-03-01",116
"1961-04-01",105
"1961-05-01",246
"1961-06-01",124
"1961-07-01",115
"1961-08-01",88
"1961-09-01",282
"1961-10-01",111
"1961-11-01",96
"1961-12-01",31
"1962-01-01",41
"1962-02-01",34
"1962-03-01",70
"1962-04-01",35
"1962-05-01",57
"1962-06-01",103
"1962-07-01",98
"1962-08-01",70
"1962-09-01",223
"1962-10-01",56
"1962-11-01",33
"1962-12-01",16
"1963-01-01",22
"1963-02-01",2
"1963-03-01",63
"1963-04-01",22
"1963-05-01",105
"1963-06-01",108
"1963-07-01",67
"1963-08-01",83
"1963-09-01",42
"1963-10-01",31
"1963-11-01",44
"1963-12-01",9
"1964-01-01",17
"1964-02-01",28
"1964-03-01",62
"1964-04-01",157
"1964-05-01",108
"1964-06-01",192
"1964-07-01",57
"1964-08-01",152
"1964-09-01",92
"1964-10-01",13
"1964-11-01",101
"1964-12-01",27
"1965-01-01",60
"1965-02-01",26
"1965-03-01",58
"1965-04-01",100
"1965-05-01",87
"1965-06-01",240
"1965-07-01",74
"1965-08-01",121
"1965-09-01",182
"1965-10-01",27
"1965-11-01",3
"1965-12-01",60
"1966-01-01",9
"1966-02-01",37
"1966-03-01",20
"1966-04-01",86
"1966-05-01",64
"1966-06-01",118
"1966-07-01",65
"1966-08-01",156
"1966-09-01",64
"1966-10-01",33
"1966-11-01",18
"1966-12-01",30
"1967-01-01",47
"1967-02-01",10
"1967-03-01",41
"1967-04-01",126
"1967-05-01",126
"1967-06-01",285
"1967-07-01",105
"1967-08-01",36
"1967-09-01",120
"1967-10-01",181
"1967-11-01",18
"1967-12-01",44
"1968-01-01",24
"1968-02-01",13
"1968-03-01",51
"1968-04-01",75
"1968-05-01",140
"1968-06-01",90
"1968-07-01",138
"1968-08-01",159
"1968-09-01",61
"1968-10-01",102
"1968-11-01",106
"1968-12-01",49
"1969-01-01",52
"1969-02-01",22
"1969-03-01",63
"1969-04-01",106
"1969-05-01",79
"1969-06-01",220
"1969-07-01",101
"1969-08-01",94
"1969-09-01",128
"1969-10-01",174
"1969-11-01",4
"1969-12-01",29
"1970-01-01",10
"1970-02-01",8
"1970-03-01",46
"1970-04-01",157
"1970-05-01",108
"1970-06-01",155
"1970-07-01",17
"1970-08-01",60
"1970-09-01",220
"1970-10-01",85
"1970-11-01",17
"1970-12-01",33
"1971-01-01",51
"1971-02-01",53
"1971-03-01",21
"1971-04-01",44
"1971-05-01",94
"1971-06-01",127
"1971-07-01",156
"1971-08-01",24
"1971-09-01",124
"1971-10-01",110
"1971-11-01",48
"1971-12-01",93
"1972-01-01",13
"1972-02-01",17
"1972-03-01",40
"1972-04-01",88
"1972-05-01",80
"1972-06-01",48
"1972-07-01",112
"1972-08-01",99
"1972-09-01",131
"1972-10-01",124
"1972-11-01",99
"1972-12-01",39
"1973-01-01",91
"1973-02-01",29
"1973-03-01",237
"1973-04-01",132
"1973-05-01",115
"1973-06-01",93
"1973-07-01",122
"1973-08-01",28
"1973-09-01",241
"1973-10-01",105
"1973-11-01",78
"1973-12-01",83
"1974-01-01",46
"1974-02-01",43
"1974-03-01",121
"1974-04-01",64
"1974-05-01",114
"1974-06-01",100
"1974-07-01",23
"1974-08-01",208
"1974-09-01",119
"1974-10-01",118
"1974-11-01",101
"1974-12-01",57
"1975-01-01",74
"1975-02-01",50
"1975-03-01",74
"1975-04-01",63
"1975-05-01",108
"1975-06-01",150
"1975-07-01",23
"1975-08-01",174
"1975-09-01",87
"1975-10-01",49
"1975-11-01",57
"1975-12-01",31
"1976-01-01",14
"1976-02-01",16
"1976-03-01",86
"1976-04-01",107
"1976-05-01",95
"1976-06-01",113
"1976-07-01",90
"1976-08-01",58
"1976-09-01",41
"1976-10-01",84
"1976-11-01",7
"1976-12-01",4
"1977-01-01",27
"1977-02-01",25
